Market,Headline,Signal,Sentiment,Sent_Conf,Emotion,Emo_Conf,Score,Date,Source,Run_Time
Commodities,"Allied Gold (TSX:AAUC): Evaluating Current Valuation After Recent Share Price Pullback - Yahoo Finance. <a href=""https://news.google.com/rss/articles/CBMigwFBVV95cUxOWVJ1cFZjR0pQbW9iVW1na0R4bHNnbnVSYm",⚪ Neutral,Neutral,1.0,neutral,0.968,0.0,2025-11-21,GoogleRSS,2025-11-21 04:39:35
Commodities,"Yang Lanbin leads China to men’s team gold at Junior World Championships - International Gymnast Magazine Online. <a href=""https://news.google.com/rss/articles/CBMiqAFBVV95cUxORkh6YjltUnBEQk03MzhjdXFO",⚪ Neutral,Neutral,1.0,neutral,0.937,0.0,2025-11-21,GoogleRSS,2025-11-21 04:39:35
Commodities,"Trump administration proposes plan to open oil drilling off Florida’s Gulf coast - FOX 13 Tampa Bay. <a href=""https://news.google.com/rss/articles/CBMiqwFBVV95cUxPdjhhN0pybFVIY1dHWVlRWU5fanFteS1mQTNBa",⚪ Neutral,Neutral,1.0,neutral,0.966,0.0,2025-11-21,GoogleRSS,2025-11-21 04:39:35
Commodities,"Japan Exchange to Revise Guidelines to Curb JGB Futures Spoofing - Bloomberg.com. <a href=""https://news.google.com/rss/articles/CBMitgFBVV95cUxNaXgzM0NwbTlGc3kxaXdNRk54aXNpcU5Fc0l2OU9mUjN2b0dGUHhYdGJ2",⚪ Neutral,Neutral,1.0,neutral,0.956,0.0,2025-11-21,GoogleRSS,2025-11-21 04:39:35
Commodities,"Wyoming Rescue Mission to deliver hundreds of Thanksgiving meals - Oil City News. <a href=""https://news.google.com/rss/articles/CBMiqwFBVV95cUxNZlU2OUxOVTB0clZDOEdVanN3ME55R0c0ODJUaFBGelNObS1JOUxUZDJH",⚪ Neutral,Neutral,1.0,neutral,0.94,0.0,2025-11-21,GoogleRSS,2025-11-21 04:39:35
Commodities,"Oil Prices Sink After Zelenskyy Agrees to Work on Peace Deal - Crude Oil Prices Today | OilPrice.com. <a href=""https://news.google.com/rss/articles/CBMitwFBVV95cUxNUkJCX0llMVhybHBvMU9QdzhXUFEyQ201UnI3",⚪ Neutral,Neutral,1.0,neutral,0.918,0.0,2025-11-21,GoogleRSS,2025-11-21 04:39:35
Commodities,"Gold Falls as Traders Weigh Fed’s Next Move - The Wall Street Journal. <a href=""https://news.google.com/rss/articles/CBMipgNBVV95cUxOWkJCeHdJc2xIdHNOQVpFQ3NkWFlmMDRrRl9TZ21aY0JSSExQdHJndmgyRXVXTDZDaEV",⚪ Neutral,Neutral,1.0,neutral,0.966,0.0,2025-11-21,GoogleRSS,2025-11-21 04:39:35
Commodities,"Gold prices fall as strong US jobs data dims chance of December rate cut - Nation Thailand. <a href=""https://news.google.com/rss/articles/CBMiZ0FVX3lxTE82U3JEdFJnc216WmFYSHFqTzB5S1BJbGF6OWVsM2VtUG1oak",🟢 Buy,Positive,0.883,neutral,0.863,1.062,2025-11-21,GoogleRSS,2025-11-21 04:39:35
Commodities,"Gold Steadies After US Jobs Data Damp Prospects for Rate Cut - Bloomberg.com. <a href=""https://news.google.com/rss/articles/CBMisAFBVV95cUxQSzVka1lkSG5mWmxBTGUydkVVNlpsc1dHMFQ1VmJhMVZuOV9zMTlxU0xPeUFD",⚪ Neutral,Neutral,1.0,neutral,0.959,0.0,2025-11-21,GoogleRSS,2025-11-21 04:39:35
Commodities,"Gold subdued as strong US jobs data dents rate-cut hopes - Reuters. <a href=""https://news.google.com/rss/articles/CBMiowFBVV95cUxQbnVsZHJmaEwzMnI2LU9BTWR4R0ZzYmJONkg1MFRITDBjMXRaMGxaekl6VlBGMjNhSXpaWk",🟢 Buy,Positive,0.996,neutral,0.914,1.099,2025-11-21,GoogleRSS,2025-11-21 04:39:35
Commodities,"Copper Prices Slide As Dollar Strength And Fed Worries Mount - Finimize. <a href=""https://news.google.com/rss/articles/CBMikwFBVV95cUxPbmlaQ2FlR2xQek9kelNLOVdpc0FodjVUTEx6TXY4WG9BdWNNTEhQdFo4UXVzbks5a",⚪ Neutral,Neutral,0.991,neutral,0.957,0.0,2025-11-21,GoogleRSS,2025-11-21 04:39:35
Commodities,"The Silver & Black Show - Week 12 vs. Browns - Eric Stokes, Andrew Siciliano and Robert Turbin - Raiders.com. <a href=""https://news.google.com/rss/articles/CBMirgFBVV95cUxNVmdXejBKSkNrd3RJU0JEeFh0UmVW",⚪ Neutral,Neutral,1.0,neutral,0.961,0.0,2025-11-21,GoogleRSS,2025-11-21 04:39:35
Commodities,"Trump aims to open California coast to oil drilling; Senator Padilla and Governor Newsom denounce plan - East County Magazine. <a href=""https://news.google.com/rss/articles/CBMiygFBVV95cUxQdi10SG54R19",⚪ Neutral,Neutral,1.0,neutral,0.959,0.0,2025-11-21,GoogleRSS,2025-11-21 04:39:35
Commodities,"RFK Jr. tells governors he will return to 'gold-standard science' in vaccine policy - Santa Fe New Mexican. <a href=""https://news.google.com/rss/articles/CBMijAJBVV95cUxQMFNXWWVTRVhmMFlxUlhHVUNIV082Yj",⚪ Neutral,Neutral,1.0,neutral,0.967,0.0,2025-11-21,GoogleRSS,2025-11-21 04:39:35
Commodities,"Gold Across Borders: Where SSR Mining Stands in Today’s Commodity Cycle - The Motley Fool. <a href=""https://news.google.com/rss/articles/CBMivAFBVV95cUxOZ0FYYkd4TXNwdHlCUkZJN0wzUmRncnBCV2dzQlc3cl9yLWl",⚪ Neutral,Neutral,1.0,neutral,0.961,0.0,2025-11-21,GoogleRSS,2025-11-21 04:39:35
Commodities,"Oil Slips on Easing Geopolitical Tensions - The Wall Street Journal. <a href=""https://news.google.com/rss/articles/CBMipANBVV95cUxOWlhQZGJwSkYxR3BZYW5aWEY1MnRTd1ZsRThhYVJkMjZ6ZURtazMtSUJxNzF1V24tMVVOW",⚪ Neutral,Neutral,0.995,neutral,0.965,0.0,2025-11-21,GoogleRSS,2025-11-21 04:39:35
Commodities,"Stock futures edge higher after market drops on renewed AI fears: Live updates - CNBC. <a href=""https://news.google.com/rss/articles/CBMid0FVX3lxTFAtQVRUX2p0aUZoU1phNE1sMmhNRm5zcDV2MG8zOW5jdXg4cTFEZ0J",🟢 Buy,Positive,0.982,neutral,0.949,1.194,2025-11-21,GoogleRSS,2025-11-21 04:39:35
Commodities,"Sudan has vast oil, gold and agricultural resources. Who controls them? - Al Jazeera. <a href=""https://news.google.com/rss/articles/CBMirwFBVV95cUxQN215N2hONWMwcmRDT2xiR2s5cW1TSGljZDhEVHFpOFdGS1dQaUh1",⚪ Neutral,Neutral,1.0,neutral,0.824,0.0,2025-11-20,GoogleRSS,2025-11-21 04:39:35
Commodities,"Florida lawmakers on record opposing renewed offshore oil drilling in Gulf - ABC7 WWSB. <a href=""https://news.google.com/rss/articles/CBMiqwFBVV95cUxQdk9CUHJDT09MQlB1SzR3X2lzWnd6dk56dVJDQkJDZVBJcmluTE",⚪ Neutral,Neutral,1.0,neutral,0.938,0.0,2025-11-20,GoogleRSS,2025-11-21 04:39:35
Commodities,"Mets' Steve Cohen Sells 18-Karat Gold Toilet at Auction for $12.1 Million - Bleacher Report. <a href=""https://news.google.com/rss/articles/CBMirAFBVV95cUxPU08zUy1nMTl0U19JRzBjYnNrSTNWLVoyNl84b2dFV2g0V",⚪ Neutral,Neutral,1.0,neutral,0.951,0.0,2025-11-20,GoogleRSS,2025-11-21 04:39:35
Commodities,"Gold prices holding steady as U.S. economy created 119K jobs in September - KITCO. <a href=""https://news.google.com/rss/articles/CBMisAFBVV95cUxNUkJCMzc5MGFrRmZLMlczVVFGVGx6OFp3Tnd6QWhhWjg0ZS1EX3FyX2F",🟢 Buy,Positive,0.912,neutral,0.931,0.973,2025-11-20,GoogleRSS,2025-11-21 04:39:35
Commodities,"Trump plans huge oil drilling expansion off California and Alaska coasts - CNBC. <a href=""https://news.google.com/rss/articles/CBMimAFBVV95cUxPbzllc182cnFVd0YyZDlBaWZadGpveHlBZk5mSG5kLTFNUXowc2s5eVoxV",⚪ Neutral,Neutral,1.0,neutral,0.966,0.0,2025-11-20,GoogleRSS,2025-11-21 04:39:35
Commodities,"Gold falls as strong U.S. jobs data dims prospects for December rate cut - CNBC. <a href=""https://news.google.com/rss/articles/CBMinwFBVV95cUxQWURFYWZpWlRvdXBQRGpMOS1MN214MnZHWUp2bVJMV2pvU3VuOVVNaFN6U",🟢 Buy,Positive,0.998,neutral,0.826,1.099,2025-11-20,GoogleRSS,2025-11-21 04:39:35
Commodities,"Trump administration releases its expanded oil and gas drilling plan - USA Today. <a href=""https://news.google.com/rss/articles/CBMimwFBVV95cUxOYXBJRFZfbV9HTWxOT0lveVl0OWU2RGNmRTVmWkJrdUxTYlFRSW1JeVV2",⚪ Neutral,Neutral,1.0,neutral,0.961,0.0,2025-11-20,GoogleRSS,2025-11-21 04:39:35
Commodities,"Trump administration plans to open Pacific Coast to oil drilling for first time in more than 4 decades - Los Angeles Times. <a href=""https://news.google.com/rss/articles/CBMitAFBVV95cUxQeFZNbU9UYV9ucD",⚪ Neutral,Neutral,1.0,neutral,0.946,0.0,2025-11-20,GoogleRSS,2025-11-21 04:39:35
Commodities,"Oil Gives Up Gains On U.S. Peace Efforts for Russia-Ukraine - The Wall Street Journal. <a href=""https://news.google.com/rss/articles/CBMinwNBVV95cUxQWjY4akh1Yi1rOVBhOFZEN1d1dEZfbURBd240V0ZiRl9kOXZYY3B",🟢 Buy,Positive,1.0,neutral,0.957,1.1,2025-11-20,GoogleRSS,2025-11-21 04:39:35
Commodities,"Sanctions have choked Russia's oil industry, a key source of Kremlin funds, U.S. Treasury finds - CBS News. <a href=""https://news.google.com/rss/articles/CBMinAFBVV95cUxPWGpqb2pMLWJPQ1p5Q2xoWnNMTjdGWX",⚪ Neutral,Neutral,1.0,neutral,0.89,0.0,2025-11-20,GoogleRSS,2025-11-21 04:39:35
Commodities,"Dow Jones Futures Rise As Nvidia Earnings Rev Rally; Walmart Tops, Jobs Report Due - Investor's Business Daily. <a href=""https://news.google.com/rss/articles/CBMivwFBVV95cUxNN01faVJZTGplT2x4SHMtVmFFYj",🟢 Buy,Positive,0.657,neutral,0.961,1.076,2025-11-20,GoogleRSS,2025-11-21 04:39:35
Commodities,"Cracker Barrel shareholders ax DEI specialist over logo flap, spare CEO - New York Post. <a href=""https://news.google.com/rss/articles/CBMirgFBVV95cUxPbnUyNjlqQ2VTaTNyNlFuT3luUnhLSV9HZGQ0NGczX0ZnSE81d",⚪ Neutral,Neutral,1.0,neutral,0.953,0.0,2025-11-20,GoogleRSS,2025-11-21 04:39:35
Commodities,"California Leaders Blast Trump’s ‘Idiotic’ Plan to Kickstart Offshore Oil Drilling - KQED. <a href=""https://news.google.com/rss/articles/CBMitwFBVV95cUxPTGpNYVpWcWNJYXB2Q0ZBcXVVMzJXWV96aEJQTmZDbzV1QzN",⚪ Neutral,Neutral,1.0,neutral,0.961,0.0,2025-11-20,GoogleRSS,2025-11-21 04:39:35
Commodities,"US sanctions on big Russian oil firms are having their intended effect, Treasury official says - AP News. <a href=""https://news.google.com/rss/articles/CBMipwFBVV95cUxPV0ctcVU3aWhma3RNR0htSS02RWtkVmh5",⚪ Neutral,Neutral,1.0,neutral,0.936,0.0,2025-11-20,GoogleRSS,2025-11-21 04:39:35
Commodities,"Cracker Barrel shareholders vote to keep CEO despite logo debacle - AP News. <a href=""https://news.google.com/rss/articles/CBMinAFBVV95cUxPd0h6djc1bzlIXzBKUVYwaUZ3aUtNcTJSR0pYQU43ZWthcDdEMDZSSjFhbG1NV",⚪ Neutral,Neutral,1.0,neutral,0.94,0.0,2025-11-20,GoogleRSS,2025-11-21 04:39:35
Commodities,"That Ain’t It: Dayton 77, Marquette 71 (OT). The Golden Eagles didn’t look like a team that learned anything from their loss to Maryland, and so the Flyers prevailed.",🟠 Sell,Negative,0.954,neutral,0.74,-1.085,2025-11-20,NewsAPI,2025-11-21 04:39:35
Commodities,"Gold Card Update—Key Milestone Reached for Trump Admin’s New Visa Program - Newsweek. <a href=""https://news.google.com/rss/articles/CBMiqgFBVV95cUxOcmZrQUxYd3Q4N01qZXNnb1p2X0FGTjRnNlhOZlBOWVJ6Tnd2bi04",⚪ Neutral,Neutral,0.999,neutral,0.954,0.0,2025-11-20,GoogleRSS,2025-11-21 04:39:35
Commodities,"US Stock Market Today: S&P 500 Futures Surge on Cooling Jobs Growth Signals - Yahoo Finance. <a href=""https://news.google.com/rss/articles/CBMieEFVX3lxTFBjQzQ1U180Nk5maFdWbzNBdmM1UWFpVDBzcmFoRy12T3VkZ",⚪ Neutral,Neutral,0.998,neutral,0.963,0.0,2025-11-20,GoogleRSS,2025-11-21 04:39:35
Commodities,"Tucson Police make arrest in copper wire theft investigation - KOLD. <a href=""https://news.google.com/rss/articles/CBMilAFBVV95cUxNUnNiQV9DMXRFYk9HLTk0ZHFHQ2x4c0Z1clFTSzFiS1JrV3hXaUdwbW1DMmRQX2dPNjc1N",⚪ Neutral,Neutral,1.0,neutral,0.947,0.0,2025-11-20,GoogleRSS,2025-11-21 04:39:35
Commodities,"Gold, silver modestly down after stronger U.S. jobs report - KITCO. <a href=""https://news.google.com/rss/articles/CBMiowFBVV95cUxPaFVZc1pFbnQ0c05INWNRQlRHWk5pV2hIOW5UcXA4NUpxOFZydVFFODMtZGhzU1FaWXpNX3",🟠 Sell,Negative,0.567,neutral,0.936,-1.044,2025-11-20,GoogleRSS,2025-11-21 04:39:35
Commodities,"Obsessed with gold: A $12M toilet and Trump's Oval Office - dw.com. <a href=""https://news.google.com/rss/articles/CBMikAFBVV95cUxQdGpNSXF4c3BmejBPTVdxcndtYWRyWU5SU0plc01DNFBhWFRMdnVjNmxwLXVseHNFUkgwN2",⚪ Neutral,Neutral,1.0,neutral,0.926,0.0,2025-11-20,GoogleRSS,2025-11-21 04:39:35
Commodities,"US Sanctions on Russian Oil Set to Kick In, With 48 Million Barrels of Crude at Sea - Bloomberg.com. <a href=""https://news.google.com/rss/articles/CBMitgFBVV95cUxNaXRlWUlNN2dhRWcwTVlhekhGVlhKbWlxY1diZ",⚪ Neutral,Neutral,0.998,neutral,0.959,0.0,2025-11-20,GoogleRSS,2025-11-21 04:39:35
Commodities,"Alaska onshore North Slope oil auction sets new mark for tract leases sold - Alaska Beacon. <a href=""https://news.google.com/rss/articles/CBMisAFBVV95cUxQN1RvU2hTYTlJRkVmZFpYT2hLMmluc1EyWkptNFJLNjdNSV",⚪ Neutral,Neutral,1.0,neutral,0.956,0.0,2025-11-20,GoogleRSS,2025-11-21 04:39:35
Commodities,"Russia Starts Selling Off Its Gold Reserves to Fund the War Budget, Breaking a Long-Held Taboo - UNITED24 Media. <a href=""https://news.google.com/rss/articles/CBMi0wFBVV95cUxQX0tXT3lQeUIwa3V4Q3k1aGtxN",⚪ Neutral,Neutral,1.0,neutral,0.961,0.0,2025-11-20,GoogleRSS,2025-11-21 04:39:35
Commodities,"Tether’s Gold Hoard Surges to 116 Tons, Rivals Small Central Banks - CoinDesk. <a href=""https://news.google.com/rss/articles/CBMirgFBVV95cUxQdXVNeWpBV2Y1SUpzUjRJZkdMWWVQZGliRmJ6aWg2V1NmVzF4TEMtYzZIYUV",⚪ Neutral,Neutral,0.993,neutral,0.961,0.0,2025-11-20,GoogleRSS,2025-11-21 04:39:35
Commodities,"Trump announces new offshore drilling projects despite bipartisan pushback - Al Jazeera. <a href=""https://news.google.com/rss/articles/CBMiuwFBVV95cUxOV01HYTdLMmYwVzdERTVGVnVjckxVeUhqalRiZ2pVdm13UV96Z",⚪ Neutral,Neutral,0.992,neutral,0.963,0.0,2025-11-20,GoogleRSS,2025-11-21 04:39:35
Commodities,"Festival of Lights returns to Lafayette’s Oil Center - KATC. <a href=""https://news.google.com/rss/articles/CBMikwFBVV95cUxOQVNHNWx1WDNVY2hKZGxOVnV4a3Rlb0hGOUNQQUdOS19iVV9ralRNMGd5d2tFNFczVllNNjczeVF3S",⚪ Neutral,Neutral,1.0,neutral,0.953,0.0,2025-11-20,GoogleRSS,2025-11-21 04:39:35
Commodities,"A cold gold rush? The race for the Arctic's critical minerals is heating up - CNBC. <a href=""https://news.google.com/rss/articles/CBMiqAFBVV95cUxQbno1VVNBUXJ3R2V0dHZicmF4Nks3RS1zdDNBODdjU1RwSGJwX2ZFX2",⚪ Neutral,Neutral,1.0,neutral,0.789,0.0,2025-11-20,GoogleRSS,2025-11-21 04:39:35
Commodities,"Venezuela approves 15-year extension of Russia-linked oil joint ventures - Reuters. <a href=""https://news.google.com/rss/articles/CBMivgFBVV95cUxNMG4wUndXbHBmRHpLN2RDdURaNmV5dk1DdnhQcDhnX1FHM25YUW9uTV",⚪ Neutral,Neutral,1.0,neutral,0.956,0.0,2025-11-20,GoogleRSS,2025-11-21 04:39:35
Commodities,"U.S. Natural Gas Futures Retreat on Weather Data - The Wall Street Journal. <a href=""https://news.google.com/rss/articles/CBMiqgNBVV95cUxORnhYamdiZFRISWhiU2pkY3hReDIwSmxjUW56dFJhcDVjd1FaZmwzUmM5WW5fY0",⚪ Neutral,Neutral,1.0,neutral,0.965,0.0,2025-11-20,GoogleRSS,2025-11-21 04:39:35
Commodities,"India's Reliance Industries Officially Shuts the Door on Russian Crude - Crude Oil Prices Today | OilPrice.com. <a href=""https://news.google.com/rss/articles/CBMizwFBVV95cUxNcEQybnlabzlTV2ZIWTVNNnFkbH",⚪ Neutral,Neutral,1.0,neutral,0.963,0.0,2025-11-20,GoogleRSS,2025-11-21 04:39:35
Commodities,"Emergency declared as Northwest’s main oil pipeline shuts down again - Oregon Public Broadcasting - OPB. <a href=""https://news.google.com/rss/articles/CBMiqwFBVV95cUxObldmQzhxcGVRdjlqdDQ0cG9pRDdzdDFuZ",⚪ Neutral,Neutral,1.0,neutral,0.956,0.0,2025-11-20,GoogleRSS,2025-11-21 04:39:35
Commodities,"Trump administration proposes pushing offshore oil drilling closer to Florida shores - Tampa Bay Times. <a href=""https://news.google.com/rss/articles/CBMihgFBVV95cUxOU2RUaURJRVZBTWZUWFlxd2dhTTNiNWozZX",⚪ Neutral,Neutral,1.0,neutral,0.959,0.0,2025-11-20,GoogleRSS,2025-11-21 04:39:35
Commodities,"Gold Slips as Traders Doubt Further Fed Easing After Jobs Data - Yahoo Finance. <a href=""https://news.google.com/rss/articles/CBMihwFBVV95cUxNNjl2bzRpZy14Rm9Yb2t1Q3h6bjVCVU9TMEwzM055eXVvbVBkZnI0YUZnSG",⚪ Neutral,Neutral,0.999,neutral,0.961,0.0,2025-11-20,GoogleRSS,2025-11-21 04:39:35
Commodities,"On shovels, Nvidia, and the AI Gold Rush - Marcus on AI. <a href=""https://news.google.com/rss/articles/CBMif0FVX3lxTFBZMUlFM2FyMjRBUU5ncmpqZnBjMGlxRFBqc0M0WGxPcEZGWUlNOVFLMld0cGZLanYzbGJaeWp3bkZTZlhNa",⚪ Neutral,Neutral,1.0,neutral,0.965,0.0,2025-11-20,GoogleRSS,2025-11-21 04:39:35
Commodities,"Drake Maye responds to Cam Newton's 'fool's gold' comments: 'I don't even know what show he's on' - NFL.com. <a href=""https://news.google.com/rss/articles/CBMiogFBVV95cUxPcGVqRko3QXduQ3pkSGVaS3RLdWN0M",⚪ Neutral,Neutral,1.0,neutral,0.84,0.0,2025-11-20,GoogleRSS,2025-11-21 04:39:35
Commodities,"Kwan's defensive prowess validated after latest Gold Glove - MLB.com. <a href=""https://news.google.com/rss/articles/CBMijgFBVV95cUxNRzQ4QmxjVG5BUjRaeXVNVGNNXzZJWkl4Q1NWdmlHQ1VtcVFLbU94UHJ6YU5iazJvdnRV",⚪ Neutral,Neutral,1.0,neutral,0.946,0.0,2025-11-20,GoogleRSS,2025-11-21 04:39:35
Commodities,"Man found dead by police after officers respond to Silver Spring shooting - FOX 5 DC. <a href=""https://news.google.com/rss/articles/CBMimwFBVV95cUxPZDdDYy02OW5tZWlhTGNmcjRaUUJzQ3V3R01SdU9DRDlwU1IwTTBC",⚪ Neutral,Neutral,1.0,neutral,0.951,0.0,2025-11-20,GoogleRSS,2025-11-21 04:39:35
Commodities,"As Sanctions on Russian Oil Loom, India Prepares to End Its Buying Spree - The New York Times. <a href=""https://news.google.com/rss/articles/CBMigAFBVV95cUxQbXNHeHBTSmQwYkF1dFFHQ2QxVHZfdlZwTWFGb0gzTHp",⚪ Neutral,Neutral,1.0,neutral,0.959,0.0,2025-11-20,GoogleRSS,2025-11-21 04:39:35
Commodities,"Alyeska Pipeline faces $244,000 penalty for violations related to small oil leak - Anchorage Daily News. <a href=""https://news.google.com/rss/articles/CBMi2AFBVV95cUxPREtkTjJSdG9YODdRSEZqSk9DaUhCUjk0d",🟠 Sell,Negative,0.672,neutral,0.885,-0.902,2025-11-20,GoogleRSS,2025-11-21 04:39:35
Commodities,"Russia’s Central Bank Starts Selling Physical Gold From Reserves - The Moscow Times. <a href=""https://news.google.com/rss/articles/CBMisgFBVV95cUxPOVNYbzJRcW1VV1pVMC1idE4wVmVTb2F6ZW9QYm42NjZ3MklwZVljN",⚪ Neutral,Neutral,1.0,neutral,0.947,0.0,2025-11-20,GoogleRSS,2025-11-21 04:39:35
Commodities,"DC deli owner badly beaten, robbed in his Silver Spring home - WJLA. <a href=""https://news.google.com/rss/articles/CBMimwJBVV95cUxOejVnTC16RnoteWo5MDZTcmpFaE1iZWVsc01uSFZzV0hRSjR1RHIxQ2lPSjNfQ2EzUi1wa",⚪ Neutral,Neutral,1.0,neutral,0.915,0.0,2025-11-20,GoogleRSS,2025-11-21 04:39:35
Commodities,"How Tariffs Are Impacting The U.S. Oil And Gas Industry - Forbes. <a href=""https://news.google.com/rss/articles/CBMipAFBVV95cUxNTG9HU3VWMy1kbGUyQUVGZDdNejh1Ty1ucTFlWTBnOXhWY3JFeXI5MVJaQmlBdng5VU1RZUw1",⚪ Neutral,Neutral,1.0,neutral,0.889,0.0,2025-11-20,GoogleRSS,2025-11-21 04:39:35
Commodities,"Nifty Prediction Today – November 20, 2025: Nifty 50 Futures: Bullish; go long now and on dips. Nifty 50 November Futures contract can rise to 26,220 initially and then to 26,350 eventually",🟢 Buy,Positive,0.996,neutral,0.921,1.199,2025-11-20,NewsAPI,2025-11-21 04:39:35
Commodities,"Australia has dropped its bid to host the COP31 climate talks. Here’s what happened – and what’s next. After a three-year push to host the 2026 climate talks with the Pacific, Australia has backed dow",🟠 Sell,Negative,1.0,disappointment,0.809,-1.2,2025-11-20,NewsAPI,2025-11-21 04:39:35
Commodities,"Section 1 girls soccer announces All-Section awards, Elite 12 as picked by coaches. After a superb girls soccer season that included two state championships, Section 1 recognized a bevy of standouts i",⚪ Neutral,Neutral,0.516,neutral,0.482,0.0,2025-11-20,NewsAPI,2025-11-21 04:39:35
